,date,aqi,pm2_5,pm10,co,no2,o3,so2,nh3
146,2024-02-02,5.0,181.69708333333332,213.67708333333334,1291.195,22.892916666666665,76.07166666666667,15.278333333333334,14.672083333333333
147,2024-02-03,5.0,98.30583333333334,111.57,694.5529166666666,12.563333333333333,104.3675,15.287916666666668,12.223333333333334
148,2024-02-04,5.0,110.13583333333334,130.45916666666668,916.2433333333333,20.80333333333333,72.49416666666666,13.222083333333332,14.613333333333332
149,2024-02-05,4.75,113.21541666666667,137.44666666666666,1329.0229166666666,32.26583333333333,39.67041666666667,17.101666666666667,11.990416666666667
150,2024-02-06,4.583333333333333,102.32,117.645,992.7341666666666,16.37,76.47916666666667,14.736666666666666,10.569166666666666
151,2024-02-07,5.0,98.67750000000001,-309.3983333333333,699.2816666666666,12.286666666666667,124.27541666666667,18.014583333333334,11.737916666666665
152,2024-02-08,5.0,125.95375,140.73499999999999,835.0208333333334,14.116666666666667,119.71583333333332,17.012083333333333,14.80625
153,2024-02-09,5.0,168.91125,203.3479166666667,1445.8495833333334,35.11875,59.1625,20.796666666666667,15.775416666666667
154,2024-02-10,5.0,213.68583333333333,245.26250000000002,1478.9504166666666,28.739166666666666,70.34416666666667,16.148333333333333,13.714583333333332
155,2024-02-11,5.0,208.55958333333334,238.82375000000002,1411.9145833333332,26.99208333333333,77.35208333333334,18.027916666666666,17.799166666666668
156,2024-02-12,5.0,306.21083333333337,348.40875,1861.9695833333333,35.6725,99.44916666666667,34.79333333333333,26.618750000000002
157,2024-02-13,5.0,437.06916666666666,484.5825,2433.2995833333334,43.12625,53.03666666666667,28.35625,19.716666666666665
158,2024-02-14,4.875,186.15791666666667,202.94125,1845.2804166666667,35.07333333333333,47.76708333333334,20.93166666666667,10.505833333333333
159,2024-02-15,5.0,260.90291666666667,290.42041666666665,1985.4708333333335,32.69083333333334,57.84916666666666,19.74416666666667,13.62
160,2024-02-16,5.0,215.98541666666668,244.49708333333334,1525.1245833333332,26.472916666666666,70.875,16.605416666666667,11.083333333333334
161,2024-02-17,5.0,163.72875000000002,181.39333333333332,1054.7641666666666,18.083333333333332,73.99166666666666,12.408333333333333,10.010833333333332
162,2024-02-18,5.0,198.42291666666665,231.02791666666667,1478.9491666666665,32.3725,66.1225,22.55875,20.986666666666668
163,2024-02-19,5.0,294.4270833333333,341.44666666666666,1892.287916666667,37.34041666666666,106.87875000000001,44.26083333333333,30.623333333333335
164,2024-02-20,5.0,335.31083333333333,375.36375,1875.3208333333332,32.74458333333333,109.31458333333335,31.589166666666667,17.04125
165,2024-02-21,3.4583333333333335,81.26166666666667,97.64458333333333,891.3483333333334,21.052916666666665,55.111250000000005,11.94625,8.083333333333334
166,2024-02-22,4.416666666666667,116.12583333333333,141.0845833333333,1261.43375,30.620416666666667,45.0825,17.230416666666667,11.370416666666666
167,2024-02-23,4.708333333333333,98.09750000000001,125.70041666666667,1093.98375,27.977500000000003,61.623333333333335,16.228333333333335,18.881666666666668
168,2024-02-24,4.875,132.09666666666666,162.27166666666668,1365.185,34.62208333333333,66.58041666666666,28.50583333333333,29.50916666666667
169,2024-02-25,4.75,106.38583333333334,135.55666666666667,1191.895,30.951666666666668,57.95208333333333,16.754166666666666,23.618750000000002
170,2024-02-26,5.0,158.96333333333334,202.88875,1623.5908333333334,39.25666666666667,61.138749999999995,23.31,31.622083333333336
171,2024-02-27,5.0,160.77666666666667,191.10916666666665,1379.9275,28.72458333333333,88.41166666666668,22.7,20.964166666666667
172,2024-02-28,4.791666666666667,112.43583333333333,127.56374999999998,828.9020833333334,14.9225,113.84458333333333,20.845833333333335,12.761666666666665
173,2024-02-29,5.0,143.97125,165.21041666666667,1025.8366666666666,20.547916666666666,106.73625,20.390833333333333,17.37125
174,2024-03-01,5.0,198.36166666666668,235.80124999999998,1761.5554166666668,40.70458333333333,81.12166666666667,28.998333333333335,28.606666666666666
175,2024-03-02,5.0,163.88375,193.22875,1422.2070833333335,27.5275,96.50583333333333,23.394166666666667,24.825
176,2024-03-03,4.041666666666667,85.45708333333334,102.12541666666665,978.2708333333334,19.330833333333334,64.28291666666667,12.4825,11.561666666666667
177,2024-03-04,3.75,61.00416666666666,75.61208333333333,898.9966666666668,17.257083333333334,83.89041666666667,16.203333333333333,14.389166666666666
178,2024-03-05,3.8333333333333335,51.97666666666667,63.42791666666667,615.55625,11.186250000000001,110.2675,14.140416666666667,13.582500000000001
179,2024-03-06,4.666666666666667,75.66708333333334,90.07916666666667,695.11,12.946666666666667,125.885,16.72458333333333,17.19
180,2024-03-07,5.0,100.30291666666666,117.05291666666666,824.1750000000001,15.056666666666667,126.86916666666667,19.173333333333336,18.150000000000002
181,2024-03-08,3.9166666666666665,65.53041666666667,79.12583333333333,659.505,12.649583333333332,115.51375,15.715833333333334,15.691249999999998
182,2024-03-09,4.125,57.30458333333333,74.1375,619.8670833333333,11.240416666666667,112.26583333333333,12.745833333333332,16.802916666666665
183,2024-03-10,4.875,119.7975,145.07874999999999,1106.5004166666665,25.221666666666668,108.91291666666666,23.245,26.03
184,2024-03-11,5.0,171.84208333333333,201.66083333333333,1408.2979166666667,27.476250000000004,121.31791666666668,27.059166666666666,23.390833333333333
185,2024-03-12,4.625,94.16208333333333,114.17625,851.4320833333333,17.32875,102.31083333333333,16.475416666666668,19.495833333333334
186,2024-03-13,4.708333333333333,81.34083333333334,105.96583333333332,892.73875,20.739583333333332,89.73541666666667,17.862083333333334,20.09958333333333
187,2024-03-14,4.458333333333333,83.04958333333333,112.71958333333333,914.435,20.283333333333335,95.38666666666666,18.760416666666668,20.186666666666667
188,2024-03-15,4.75,92.05,128.36833333333334,1061.71875,25.580000000000002,89.23125,20.315,22.54625
189,2024-03-16,4.666666666666667,79.85291666666667,111.1825,1016.65625,25.34,83.48958333333333,18.547083333333333,20.9975
190,2024-03-17,4.791666666666667,93.37583333333333,121.31291666666665,998.2983333333333,23.22458333333333,89.19958333333334,15.730416666666668,21.087083333333332
191,2024-03-18,5.0,150.6425,188.57333333333335,1507.0433333333333,35.47625,94.62333333333333,29.021666666666665,30.82875
192,2024-03-19,4.833333333333333,136.64124999999999,173.0225,1515.6666666666667,32.408750000000005,64.39874999999999,23.926666666666666,26.21875
193,2024-03-20,4.083333333333333,77.63208333333334,85.53916666666667,952.68125,19.364166666666666,64.61666666666666,15.139166666666666,6.727916666666666
194,2024-03-21,3.4166666666666665,46.08583333333333,61.30833333333334,1030.8429166666667,19.55125,43.557500000000005,12.549166666666666,10.839583333333332
195,2024-03-22,5.0,152.10625000000002,179.52125,1720.1104166666667,32.433749999999996,90.56375000000001,25.138333333333335,16.255416666666665
196,2024-03-23,4.916666666666667,125.73,151.98583333333332,1282.295,20.788333333333334,83.97916666666667,14.372083333333334,14.384583333333333
197,2024-03-24,5.0,139.80375,167.655,1221.37875,20.86,97.84125,16.465416666666666,15.517083333333334
198,2024-03-25,5.0,147.99625,172.24833333333333,1030.2870833333334,16.732499999999998,119.77541666666667,20.106666666666666,9.838333333333333
199,2024-03-26,5.0,125.63583333333332,150.19708333333332,1142.1045833333333,20.185,107.25875,18.889166666666664,12.575000000000001
200,2024-03-27,5.0,120.89208333333333,144.12208333333334,1178.8216666666667,21.455416666666665,111.35583333333334,21.592083333333335,14.8125
